               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11676,             0.02727,                   0,                   0,                   0,                   0,                   0,             0.11824,            0.022221,                   0,               0.091,               0.001,               0.001
                   1,             0.10154,            0.023358,                   0,                   0,                   0,                   0,                   0,             0.10069,            0.018165,                   0,            0.081096,           0.0020958,           0.0020958
                   2,            0.092834,            0.020442,                   0,          0.00088889,             0.26667,           0.0083742,           0.0011484,            0.081853,            0.015167,                   0,            0.071187,           0.0031873,           0.0031873
                   3,            0.079636,            0.018568,                   0,               0.001,                 0.4,            0.012439,           0.0032973,            0.061194,            0.012468,                   0,            0.061274,           0.0042745,           0.0042745
                   4,            0.071805,             0.01658,                   0,           0.0017167,                   1,             0.10118,             0.01652,            0.055077,            0.011114,                   0,            0.051357,           0.0053572,           0.0053572
                   5,            0.066688,            0.015295,                   0,           0.0016667,                   1,             0.21463,             0.06065,            0.054583,            0.010057,                   0,            0.041436,           0.0064357,           0.0064357
                   6,            0.066212,            0.014911,                   0,           0.0020745,                 0.8,            0.091363,            0.042636,            0.068216,           0.0074953,                   0,             0.03151,           0.0075097,           0.0075097
                   7,            0.063126,            0.013445,                   0,           0.0056003,                   1,             0.27021,            0.076606,            0.055599,            0.008897,                   0,            0.021579,           0.0085794,           0.0085794
                   8,            0.061553,            0.014051,                   0,            0.013455,             0.93333,             0.32734,             0.10778,            0.050402,           0.0079904,                   0,            0.011645,           0.0096448,           0.0096448
                   9,            0.057143,            0.012891,                   0,            0.010093,             0.53333,             0.10138,            0.055156,            0.058928,           0.0075116,                   0,           0.0098218,           0.0098218,           0.0098218
                  10,            0.056207,             0.01262,                   0,            0.023043,             0.86667,             0.52482,              0.1844,            0.056921,           0.0072145,                   0,           0.0098218,           0.0098218,           0.0098218
                  11,            0.051375,            0.014098,                   0,             0.16975,             0.73333,             0.49793,             0.32237,            0.042139,           0.0074359,                   0,            0.009802,            0.009802,            0.009802
                  12,            0.055148,            0.014051,                   0,             0.45786,             0.93333,              0.7946,             0.39371,            0.045814,           0.0070386,                   0,           0.0097822,           0.0097822,           0.0097822
                  13,            0.048805,              0.0143,                   0,                   1,             0.61688,             0.75965,              0.3802,            0.040529,           0.0072313,                   0,           0.0097624,           0.0097624,           0.0097624
                  14,            0.044296,            0.010692,                   0,             0.86606,              0.4333,             0.67862,             0.33141,             0.04165,           0.0072146,                   0,           0.0097426,           0.0097426,           0.0097426
                  15,            0.045789,            0.011932,                   0,             0.63913,             0.53333,             0.65474,             0.38194,            0.036626,            0.006979,                   0,           0.0097228,           0.0097228,           0.0097228
                  16,            0.045237,            0.014137,                   0,             0.66449,                 0.6,             0.66156,              0.2164,            0.042955,           0.0066081,                   0,            0.009703,            0.009703,            0.009703
                  17,            0.045478,            0.011421,                   0,              0.4609,             0.28641,             0.33597,             0.15465,            0.047534,           0.0074912,                   0,           0.0096832,           0.0096832,           0.0096832
                  18,            0.041769,            0.011812,                   0,             0.59176,             0.53333,             0.60062,             0.27709,            0.041201,           0.0064597,                   0,           0.0096634,           0.0096634,           0.0096634
                  19,            0.041202,            0.011466,                   0,             0.51478,             0.46667,             0.49005,             0.24393,            0.044576,           0.0057197,                   0,           0.0096436,           0.0096436,           0.0096436
                  20,            0.040834,            0.011746,                   0,             0.47246,             0.46667,             0.59536,             0.29111,            0.039271,           0.0053726,                   0,           0.0096238,           0.0096238,           0.0096238
                  21,            0.040884,            0.010427,                   0,              0.5447,             0.53333,              0.5901,             0.25706,            0.047573,           0.0055533,                   0,            0.009604,            0.009604,            0.009604
                  22,            0.041393,            0.010094,                   0,             0.60121,             0.60322,             0.66409,              0.2389,            0.041516,           0.0049578,                   0,           0.0095842,           0.0095842,           0.0095842
                  23,            0.042103,           0.0095826,                   0,             0.75116,             0.73333,             0.78754,             0.40524,            0.037107,           0.0055107,                   0,           0.0095644,           0.0095644,           0.0095644
                  24,            0.040385,           0.0092392,                   0,             0.78936,             0.73333,             0.74874,             0.41462,            0.044775,           0.0052977,                   0,           0.0095446,           0.0095446,           0.0095446
                  25,            0.043706,            0.010667,                   0,             0.84042,                 0.8,             0.84467,             0.46972,            0.038016,           0.0049706,                   0,           0.0095248,           0.0095248,           0.0095248
                  26,            0.038451,           0.0086504,                   0,             0.88876,             0.66667,             0.75414,             0.37473,             0.03363,           0.0050005,                   0,            0.009505,            0.009505,            0.009505
                  27,            0.038846,           0.0081705,                   0,             0.91603,             0.72774,             0.75031,             0.40484,            0.033877,            0.005244,                   0,           0.0094852,           0.0094852,           0.0094852
                  28,            0.040392,           0.0091942,                   0,              0.8253,             0.73333,             0.73551,             0.38874,            0.035345,            0.005012,                   0,           0.0094654,           0.0094654,           0.0094654
                  29,            0.040343,           0.0082866,                   0,             0.66867,             0.80759,             0.77369,             0.38192,            0.040246,           0.0044235,                   0,           0.0094456,           0.0094456,           0.0094456
                  30,            0.040279,            0.008739,                   0,             0.70459,                 0.8,             0.80603,             0.46607,            0.036784,           0.0040723,                   0,           0.0094258,           0.0094258,           0.0094258
                  31,            0.037635,           0.0076093,                   0,              0.6738,             0.66667,             0.65153,             0.35338,             0.04403,           0.0047289,                   0,            0.009406,            0.009406,            0.009406
                  32,             0.03799,           0.0092849,                   0,             0.75682,             0.62363,             0.73448,              0.4377,            0.036118,           0.0049361,                   0,           0.0093862,           0.0093862,           0.0093862
                  33,            0.035817,           0.0087197,                   0,              0.7604,             0.73333,             0.80319,             0.42857,            0.035793,           0.0047995,                   0,           0.0093664,           0.0093664,           0.0093664
                  34,            0.037214,           0.0079222,                   0,             0.87025,             0.73333,             0.86662,              0.3728,            0.041188,           0.0041887,                   0,           0.0093466,           0.0093466,           0.0093466
                  35,            0.037096,           0.0074502,                   0,             0.85344,             0.73333,             0.82589,             0.45769,            0.042908,           0.0037378,                   0,           0.0093268,           0.0093268,           0.0093268
                  36,            0.038949,           0.0080389,                   0,              0.7203,             0.86667,             0.79749,             0.42331,            0.038161,           0.0039666,                   0,            0.009307,            0.009307,            0.009307
                  37,            0.037564,           0.0078096,                   0,             0.82892,             0.73333,             0.78739,             0.40563,            0.034876,           0.0041179,                   0,           0.0092872,           0.0092872,           0.0092872
                  38,            0.036633,           0.0072396,                   0,              0.7018,             0.73333,             0.71912,             0.38439,            0.036782,           0.0039308,                   0,           0.0092674,           0.0092674,           0.0092674
                  39,            0.032502,           0.0071729,                   0,             0.86372,             0.86667,             0.92315,             0.45969,            0.034659,            0.003922,                   0,           0.0092476,           0.0092476,           0.0092476
                  40,            0.035514,           0.0066816,                   0,             0.97953,             0.73333,             0.89895,             0.47332,             0.03416,           0.0039813,                   0,           0.0092278,           0.0092278,           0.0092278
                  41,            0.038368,           0.0074633,                   0,             0.84391,             0.86667,             0.92257,              0.5408,            0.034192,           0.0035555,                   0,            0.009208,            0.009208,            0.009208
                  42,            0.033931,           0.0074635,                   0,             0.90397,             0.93333,             0.93367,             0.45253,            0.035874,           0.0036374,                   0,           0.0091882,           0.0091882,           0.0091882
                  43,            0.037058,           0.0064863,                   0,             0.92209,             0.78972,              0.8565,             0.33114,             0.03614,           0.0040181,                   0,           0.0091684,           0.0091684,           0.0091684
                  44,            0.033267,           0.0060297,                   0,             0.83422,                 0.8,             0.84629,             0.43117,            0.036473,           0.0037006,                   0,           0.0091486,           0.0091486,           0.0091486
                  45,            0.035643,           0.0069297,                   0,             0.83841,                 0.8,             0.87621,             0.42037,            0.037371,           0.0035443,                   0,           0.0091288,           0.0091288,           0.0091288
                  46,            0.034644,           0.0065871,                   0,             0.82686,                 0.8,             0.87097,             0.41977,            0.036262,           0.0034236,                   0,            0.009109,            0.009109,            0.009109
                  47,            0.036101,           0.0065406,                   0,             0.71765,             0.84799,             0.79227,              0.4541,            0.034274,           0.0038056,                   0,           0.0090892,           0.0090892,           0.0090892
                  48,            0.032728,            0.007698,                   0,             0.73266,             0.73096,             0.77572,             0.45743,            0.032069,           0.0036716,                   0,           0.0090694,           0.0090694,           0.0090694
                  49,            0.033649,           0.0060636,                   0,             0.79955,                 0.6,             0.71286,             0.41215,            0.039117,           0.0046989,                   0,           0.0090496,           0.0090496,           0.0090496
                  50,            0.031744,           0.0066576,                   0,             0.75251,             0.73333,             0.81847,              0.4619,            0.035802,           0.0033666,                   0,           0.0090298,           0.0090298,           0.0090298
                  51,            0.029223,           0.0068551,                   0,              0.7098,             0.81598,             0.84979,             0.41467,             0.03846,           0.0032643,                   0,             0.00901,             0.00901,             0.00901
