                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.7502,                 9.6015,                 1.6641,                0.04864,                0.06667,                0.01216,                0.00835,                 1.3963,                 7.7097,                 1.6322,                  0.091,                  0.001,                  0.001
                      1,                 1.6311,                 4.7522,                 1.6126,                0.63943,                0.33333,                0.39823,                0.28434,                 1.3584,                 3.2041,                 1.6971,               0.081058,              0.0020584,              0.0020584
                      2,                 1.4602,                 2.2202,                 1.5071,                0.55366,                0.33106,                0.30796,                 0.2153,                 1.6066,                 2.6467,                 1.8672,               0.071073,              0.0030733,              0.0030733
                      3,                 1.5774,                 2.0877,                 1.6066,                0.74827,                    0.4,                0.49683,                 0.2872,                 1.4516,                 2.0921,                 1.5326,               0.061045,              0.0040446,              0.0040446
                      4,                 1.5146,                  1.672,                  1.522,                0.89373,                    0.2,                0.36662,                0.21293,                 1.9175,                 3.4293,                 1.9145,               0.050972,              0.0049723,              0.0049723
                      5,                 1.5118,                 1.7294,                 1.5199,                0.77194,                0.46667,                 0.5818,                 0.3591,                 1.5443,                 2.3742,                 1.3953,               0.040857,              0.0058565,              0.0058565
                      6,                  1.363,                 1.5196,                 1.3913,                0.87851,                    0.6,                0.74916,                0.48405,                 1.4383,                 1.1965,                 1.4497,               0.030697,              0.0066971,              0.0066971
                      7,                 1.2233,                 1.3988,                 1.2789,                0.69042,                0.26667,                0.51461,                0.33612,                 1.6378,                 2.3749,                 1.7562,               0.020494,              0.0074942,              0.0074942
                      8,                 1.3291,                 1.5589,                  1.402,                0.85401,                0.39122,                0.53036,                0.27339,                 1.7356,                 2.6989,                 1.9529,               0.010248,              0.0082477,              0.0082477
                      9,                 1.3684,                  1.563,                 1.3481,                0.72792,                0.73333,                0.72248,                0.42313,                 1.7339,                 1.3128,                 1.4481,               0.008218,               0.008218,               0.008218
                     10,                 1.4556,                  1.374,                 1.2998,                0.78004,                0.53333,                0.67808,                 0.4189,                  1.641,                 1.9852,                 1.4176,               0.008218,               0.008218,               0.008218
                     11,                 1.2818,                 1.4675,                 1.2582,                0.96007,                    0.6,                0.69442,                 0.4651,                 1.5863,                 1.3222,                 1.4091,                0.00802,                0.00802,                0.00802
                     12,                 1.3213,                 1.2551,                 1.2812,                 0.7804,                0.53333,                0.59392,                0.37763,                 1.6388,                 1.6976,                 1.6056,               0.007822,               0.007822,               0.007822
                     13,                 1.4349,                 1.4289,                 1.3689,                0.64975,                0.53333,                 0.5922,                0.37879,                 1.6987,                 1.9541,                 1.7027,               0.007624,               0.007624,               0.007624
                     14,                 1.3033,                 1.2028,                 1.2724,                0.71489,                    0.6,                0.55376,                0.31489,                   1.88,                 2.0112,                 1.9387,               0.007426,               0.007426,               0.007426
                     15,                 1.2686,                 1.0782,                 1.2566,                0.75235,                0.66667,                0.64419,                0.38706,                 1.6832,                 1.6361,                 1.7999,               0.007228,               0.007228,               0.007228
                     16,                 1.3629,                 1.1547,                 1.3128,                0.77595,                0.69385,                0.68066,                0.36562,                 1.7563,                 1.4659,                 1.8459,                0.00703,                0.00703,                0.00703
                     17,                 1.3123,                 1.1547,                 1.2981,                0.73521,                0.86667,                0.86014,                0.39677,                 1.7645,                 1.1576,                 1.7239,               0.006832,               0.006832,               0.006832
                     18,                 1.2312,                 1.0738,                 1.2718,                0.90736,                0.65396,                0.74258,                0.46329,                  1.557,                 1.2443,                 1.4341,               0.006634,               0.006634,               0.006634
                     19,                 1.2596,                0.91209,                 1.2368,                0.82107,                    0.8,                0.79506,                0.47433,                 1.6337,                 1.0203,                 1.5594,               0.006436,               0.006436,               0.006436
                     20,                 1.1816,                 1.0228,                 1.2091,                0.71654,                0.73333,                0.71196,                0.47076,                 1.6379,                  1.073,                 1.5017,               0.006238,               0.006238,               0.006238
                     21,                 1.2402,                0.97289,                 1.2366,                0.69159,                0.66667,                 0.6576,                0.35154,                 1.7771,                 1.2995,                 1.8636,                0.00604,                0.00604,                0.00604
                     22,                 1.2237,                0.93794,                 1.2652,                0.61764,                    0.8,                0.72459,                0.41698,                 1.5565,                 1.2003,                  1.635,               0.005842,               0.005842,               0.005842
                     23,                 1.1809,                0.96962,                 1.2072,                0.96509,                    0.8,                0.89658,                0.46634,                 1.7142,                0.94445,                 1.8068,               0.005644,               0.005644,               0.005644
                     24,                 1.1645,                0.88812,                 1.2126,                0.82523,                0.66667,                0.68757,                0.44396,                 1.6292,                 1.3625,                 1.6953,               0.005446,               0.005446,               0.005446
                     25,                 1.2108,                 0.9113,                 1.1956,                0.97984,                    0.6,                0.64887,                0.39981,                 1.5836,                  1.472,                  1.654,               0.005248,               0.005248,               0.005248
                     26,                 1.2274,                  1.049,                 1.2518,                0.89543,                0.66667,                 0.7023,                0.40879,                 1.7345,                 1.3428,                 1.8024,                0.00505,                0.00505,                0.00505
                     27,                 1.1602,                0.82759,                  1.192,                0.84357,                0.71989,                0.74272,                0.41706,                 1.6615,                 1.1136,                 1.7123,               0.004852,               0.004852,               0.004852
                     28,                 1.1737,                0.85027,                 1.1815,                0.84002,                0.73333,                0.80306,                0.42681,                 1.6515,                 1.1304,                 1.7382,               0.004654,               0.004654,               0.004654
                     29,                 1.1552,                 0.8246,                 1.2301,                0.83229,                0.66208,                0.70221,                0.42567,                 1.6322,                 1.3884,                 1.7206,               0.004456,               0.004456,               0.004456
                     30,                 1.0953,                 0.8089,                 1.1471,                0.66175,                0.93333,                0.79384,                0.46449,                 1.5947,                 1.3773,                 1.6727,               0.004258,               0.004258,               0.004258
                     31,                 1.0756,                0.80039,                 1.1894,                0.71772,                    0.8,                0.84416,                0.43798,                 1.5451,                 1.1484,                 1.6112,                0.00406,                0.00406,                0.00406
                     32,                 1.0877,                0.85966,                 1.1911,                0.72816,                0.86667,                0.78375,                0.40341,                 1.5994,                 1.1036,                 1.6764,               0.003862,               0.003862,               0.003862
                     33,                 1.0595,                0.88989,                 1.1945,                0.70848,                0.86667,                0.84625,                  0.502,                 1.5603,                 1.1052,                 1.5521,               0.003664,               0.003664,               0.003664
                     34,                 1.0604,                0.74947,                 1.1593,                 0.8996,                0.86667,                0.91869,                0.52108,                 1.4561,                 1.0574,                 1.4858,               0.003466,               0.003466,               0.003466
                     35,                 1.0052,                0.75114,                 1.1433,                0.90236,                    0.8,                0.91193,                0.52294,                  1.508,                 1.0189,                 1.5487,               0.003268,               0.003268,               0.003268
                     36,                 1.1147,                0.85409,                 1.2267,                0.97463,                    0.8,                0.93302,                0.54281,                 1.5647,                0.94309,                 1.5607,                0.00307,                0.00307,                0.00307
                     37,                 1.0206,                0.71661,                 1.1509,                0.87393,                0.92476,                0.96087,                0.52425,                 1.5954,                0.92225,                 1.6098,               0.002872,               0.002872,               0.002872
                     38,                 1.0595,                0.78515,                 1.1938,                0.90109,                0.73333,                0.89903,                0.47715,                 1.4764,                0.99369,                 1.4973,               0.002674,               0.002674,               0.002674
                     39,                0.96849,                0.66021,                 1.1124,                0.85608,                    0.8,                0.86571,                0.42616,                 1.6718,                 1.1185,                 1.6951,               0.002476,               0.002476,               0.002476
                     40,                 1.0109,                0.57773,                 1.1189,                0.83805,                0.73333,                0.80762,                0.48027,                 1.7542,                 1.0292,                 1.7836,               0.002278,               0.002278,               0.002278
                     41,                0.98799,                0.69172,                 1.1028,                 0.9885,                0.86667,                0.94733,                0.48981,                  1.727,                0.85789,                 1.7792,                0.00208,                0.00208,                0.00208
                     42,                0.97325,                0.59907,                 1.1064,                0.98786,                0.86667,                0.96911,                0.50981,                 1.7105,                0.83253,                 1.7034,               0.001882,               0.001882,               0.001882
                     43,                0.85342,                0.54689,                 1.0457,                0.93286,                0.92664,                 0.9547,                0.50556,                 1.7212,                0.91512,                 1.7408,               0.001684,               0.001684,               0.001684
                     44,                0.86006,                0.57182,                 1.0397,                0.95791,                0.73333,                0.93172,                0.43683,                 1.7062,                 1.0009,                 1.7574,               0.001486,               0.001486,               0.001486
                     45,                0.86241,                0.52829,                 1.0274,                0.71388,                0.73333,                0.75285,                0.41657,                 1.7393,                0.98225,                 1.8347,               0.001288,               0.001288,               0.001288
                     46,                0.84714,                0.54805,                  1.056,                0.71658,                0.84365,                0.80273,                0.41188,                 1.7985,                0.96487,                 1.8711,                0.00109,                0.00109,                0.00109
                     47,                0.78739,                0.52858,                0.99626,                0.74534,                    0.8,                0.79883,                0.38777,                 1.7893,                0.98129,                 1.8634,               0.000892,               0.000892,               0.000892
                     48,                0.76673,                0.48766,                 1.0105,                0.79816,                    0.8,                0.78511,                0.40916,                 1.7776,                0.95635,                 1.8417,               0.000694,               0.000694,               0.000694
                     49,                0.78239,                 0.4541,                0.99956,                0.76384,                0.86276,                0.82514,                0.42455,                 1.7977,                0.90472,                 1.8666,               0.000496,               0.000496,               0.000496
